moves_used,move_limit
76759,34997375
16722,34984320
1746789,34992720
139228,34978300
1388139,34998950
471872,34980120
2132661,34999090
443946,34997200
493459,34989570
3354930,34997620
754168,34998810
1422813,34984950
253534,34999685
2128374,34982115
14538,34997340
954728,34997200
2114823,34998600
1049452,34981065
1159907,34974030
327888,34982080
384614,34999440
628302,34981975
590921,34998600
3606401,34989780
163886,34996080
768751,34999965
1386714,34997760
101065,34996290
252116,34997200
738414,34996500
2252205,34991250
723215,34994575
229732,34996500
1393075,34993280
194165,34996290
458291,34995730
316618,34982990
20188,34982745
2651485,34983060
864905,34997760
191902,34998075
726462,34997025
575815,34997760
1946257,34997025
1841113,34973715
1520511,34997165
171545,34999020
3290128,34995345
7935635,34996290
53509,34996500
355449,34999965
1534449,34998390
48328,34995870
719546,34998810
29203,34999020
543721,35000000
2363673,34997305
551658,34978860
710706,34994960
197993,34987050
187626,34978860
1251048,34997025
1419415,34992650
1090096,34998040
106777,34991180
400940,34996500
1335630,34991985
185198,34992720
110086,34990655
665850,34999965
43377,34994960
1005278,34992720
330654,34986140
520357,34997340
289341,34989150
161415,35000000
967524,34996500
826334,34987050
1898720,34997865
3923608,34998390
3332967,34979000
2545823,34986000
2498991,34983550
408644,34995800
321553,34994960
127124,34986000
2046237,34991110
1002406,34992720
822825,34991075
1628322,34995730
1062074,34995240
194793,34997025
1564634,34988800
1644587,34992720
577233,34998285
289022,34987365
723097,34998040
3412738,34986000
352450,34982990
626886,34989395
530457,34991250
1028166,34998950
507718,34986000
234272,34999965
741408,34983550
384700,34995520
72152,35000000
79043,34997375
48188,34996605
275970,34978860
166919,34998040
2684020,34998950
471992,34991880
277268,34997935
43409,34992300
386468,34999580
6088,34991250
1485730,34977600
886056,34996710
508188,34996920
1526465,34999860
638650,34996500
1045282,34999720
461491,34981205
391004,34989150
3788817,34992300
149194,34975710
982627,34975710
2446679,34999650
312149,34996080
321189,34999650
89596,34996920
3520202,35000000
1017507,34997760
1275859,34997060
209112,34981065
2509872,34998705
849224,34991110
15054,34999125
1294173,34983760
430415,34988660
170101,34998985
179543,34991040
1192495,34999650
142729,34999965
1860348,34997375
297230,34997200
1005252,34981100
3421542,34976725
1108147,34992090
1696168,34997620
93667,34982325
446707,34986700
1112614,34999440
1030304,34986000
84476,34987225
508605,34981100
1009855,34985300
358797,34975710
117304,34991040
1224288,34970740
2608221,34986140
1475587,34985720
726340,34996290
